sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.19555499999999998;-4.3990399999999997e-07;-2.39967e-07;1.99936e-07
-0.19663;-4.3990399999999997e-07;-2.40405e-07;1.99499e-07
-0.197704;-4.40123e-07;-2.41061e-07;1.9906099999999998e-07
-0.19877799999999998;-4.39685e-07;-2.41498e-07;1.98186e-07
-0.199853;-4.3990399999999997e-07;-2.41936e-07;1.97967e-07
-0.200927;-4.39685e-07;-2.42373e-07;1.9731099999999999e-07
-0.202002;-4.39685e-07;-2.42592e-07;1.97092e-07
-0.20307599999999998;-4.39248e-07;-2.42811e-07;1.96436e-07
-0.204151;-4.39466e-07;-2.4302999999999997e-07;1.96436e-07
-0.205225;-4.3881e-07;-2.43248e-07;1.9556099999999999e-07
-0.20629999999999998;-4.3881e-07;-2.43467e-07;1.95342e-07
-0.207374;-4.3881e-07;-2.43686e-07;1.95124e-07
-0.208449;-4.38373e-07;-2.43467e-07;1.9490499999999998e-07
-0.209523;-4.38154e-07;-2.43248e-07;1.9490499999999998e-07
-0.21059799999999998;-4.38154e-07;-2.43686e-07;1.94467e-07
-0.211672;-4.37498e-07;-2.4302999999999997e-07;1.94467e-07
-0.212747;-4.37716e-07;-2.43248e-07;1.94467e-07
-0.21382099999999998;-4.37279e-07;-2.4302999999999997e-07;1.94249e-07
-0.214896;-4.3705999999999997e-07;-2.4302999999999997e-07;1.9403e-07
-0.21597;-4.3640399999999997e-07;-2.42811e-07;1.93592e-07
-0.217045;-4.36185e-07;-2.42592e-07;1.93592e-07
-0.21811899999999998;-4.3574799999999997e-07;-2.42811e-07;1.92936e-07
-0.219194;-4.3531e-07;-2.4302999999999997e-07;1.9228e-07
-0.220268;-4.34873e-07;-2.4302999999999997e-07;1.91842e-07
-0.22134299999999998;-4.34873e-07;-2.43686e-07;1.91186e-07
-0.222417;-4.34873e-07;-2.44561e-07;1.90311e-07
-0.223492;-4.34654e-07;-2.45217e-07;1.89436e-07
-0.224566;-4.34873e-07;-2.46092e-07;1.8878e-07
-0.22564099999999998;-4.34435e-07;-2.46748e-07;1.87686e-07
-0.226715;-4.34654e-07;-2.47186e-07;1.87467e-07
-0.227789;-4.34435e-07;-2.47842e-07;1.86592e-07
-0.22886399999999998;-4.34654e-07;-2.48061e-07;1.86592e-07
-0.22993799999999998;-4.34654e-07;-2.48498e-07;1.86155e-07
-0.231013;-4.34873e-07;-2.48936e-07;1.85936e-07
-0.232087;-4.34873e-07;-2.49155e-07;1.85717e-07
-0.23316199999999998;-4.34873e-07;-2.49155e-07;1.85717e-07
-0.234236;-4.35091e-07;-2.49592e-07;1.8549899999999999e-07
-0.235311;-4.34873e-07;-2.49592e-07;1.8528e-07
-0.23638499999999998;-4.34654e-07;-2.49373e-07;1.8528e-07
-0.23745999999999998;-4.34435e-07;-2.49155e-07;1.8528e-07
-0.238534;-4.34435e-07;-2.49155e-07;1.8528e-07
-0.239609;-4.34216e-07;-2.49155e-07;1.85061e-07
-0.24068299999999998;-4.34216e-07;-2.48936e-07;1.8528e-07
-0.241758;-4.33779e-07;-2.48498e-07;1.8528e-07
-0.242832;-4.3355999999999997e-07;-2.48498e-07;1.85061e-07
-0.24390699999999998;-4.33341e-07;-2.48498e-07;1.84842e-07
-0.24498099999999998;-4.3290399999999997e-07;-2.48061e-07;1.84842e-07
